[03:08:38] [ServerMain/INFO]: Environment: Environment[accountsHost=https://api.mojang.com, sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[03:08:40] [ServerMain/INFO]: Loaded 7 recipes
[03:08:40] [ServerMain/INFO]: Loaded 1271 advancements
[03:08:41] [Server thread/INFO]: Starting minecraft server version 1.20.2
[03:08:41] [Server thread/INFO]: Loading properties
[03:08:41] [Server thread/INFO]: Default game type: SURVIVAL
[03:08:41] [Server thread/INFO]: Generating keypair
[03:08:41] [Server thread/INFO]: Starting Minecraft server on *:25565
[03:08:41] [Server thread/INFO]: Using epoll channel type
[03:08:41] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[03:08:41] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[03:08:41] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[03:08:41] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[03:08:41] [Server thread/INFO]: Preparing level "world"
[03:09:19] [Worker-Main-1/INFO]: Preparing spawn area: 31%
[03:09:20] [Worker-Main-1/INFO]: Preparing spawn area: 32%
[03:09:20] [Worker-Main-1/INFO]: Preparing spawn area: 33%
[03:09:21] [Worker-Main-1/INFO]: Preparing spawn area: 34%
[03:09:21] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:22] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:22] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:23] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:23] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:24] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:24] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:25] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:25] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:26] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:26] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:27] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:27] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:28] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:28] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:29] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:29] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:30] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:30] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:31] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:31] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:32] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:32] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:33] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:33] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:34] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:34] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:35] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:35] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:36] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:36] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:37] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:37] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:38] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:38] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:39] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:39] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:40] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:40] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:41] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:41] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:42] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:42] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:43] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:43] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:44] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:44] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:45] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:45] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:46] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:46] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:47] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:47] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:48] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:09:48] [Worker-Main-1/INFO]: Preparing spawn area: 52%
[03:09:49] [Server thread/INFO]: Time elapsed: 55241 ms
[03:09:49] [Server thread/INFO]: Done (68.182s)! For help, type "help"
[03:09:57] [Server thread/INFO]: Berlim1996[/54.207.22.133:61547] logged in with entity id 349 at (-52.5, 72.0, -260.5)
[03:09:57] [Server thread/INFO]: Berlim1996 joined the game
